,root1_en,root1_id,root2_en,root2_id,root3_en,root3_id
116,Seoul,2297418,Yangcheon-gu,2414780,Sinjeong 4(sa)-dong,3880505
117,Seoul,2297418,Yangcheon-gu,2414780,Sinjeong 2(i)-dong,3880503
118,Seoul,2297418,Yangcheon-gu,2414780,Sinjeong 1(il)-dong,3880502
119,Seoul,2297418,Gangseo-gu,2414775,Hwagokbon-dong,3880557
120,Seoul,2297418,Gangseo-gu,2414775,Hwagok 8(pal)-dong,3880556
121,Seoul,2297418,Gangseo-gu,2414775,Hwagok 6(yuk)-dong,3880555
122,Seoul,2297418,Gangseo-gu,2414775,Hwagok 4(sa)-dong,3880554
123,Seoul,2297418,Gangseo-gu,2414775,Hwagok 3(sam)-dong,3880553
124,Seoul,2297418,Gangseo-gu,2414775,Hwagok 2(i)-dong,3880552
125,Seoul,2297418,Gangseo-gu,2414775,Hwagok 1(il)-dong,3880551
126,Seoul,2297418,Gangseo-gu,2414775,Ujangsan-dong,3880550
127,Seoul,2297418,Gangseo-gu,2414775,Yeomchang-dong,3880538
128,Seoul,2297418,Gangseo-gu,2414775,Deungchon 3(sam)-dong,3880549
129,Seoul,2297418,Gangseo-gu,2414775,Deungchon 2(i)-dong,3880542
130,Seoul,2297418,Gangseo-gu,2414775,Deungchon 1(il)-dong,3880541
131,Seoul,2297418,Gangseo-gu,2414775,Balsan 1(il)-dong,3880525
132,Seoul,2297418,Gangseo-gu,2414775,Gayang 3(sam)-dong,3880537
133,Seoul,2297418,Gangseo-gu,2414775,Gayang 2(i)-dong,3880536
134,Seoul,2297418,Gangseo-gu,2414775,Gayang 1(il)-dong,3880535
135,Seoul,2297418,Gangseo-gu,2414775,Banghwa 2(i)-dong,3880528
136,Seoul,2297418,Gangseo-gu,2414775,Banghwa 3(sam)-dong,3880527
137,Seoul,2297418,Gangseo-gu,2414775,Banghwa 1(il)-dong,3880526
138,Seoul,2297418,Gangseo-gu,2414775,Gonghang-dong,3880524
139,Seoul,2297418,Mapo-gu,2419949,Gongdeok-dong,3884273
140,Seoul,2297418,Mapo-gu,2419949,Daeheung-dong,3884274
141,Seoul,2297418,Mapo-gu,2419949,Dohwa-dong,3884275
142,Seoul,2297418,Mapo-gu,2419949,Mangwon 1(il)-dong,3884288
143,Seoul,2297418,Mapo-gu,2419949,Mangwon 2(i)-dong,3884289
144,Seoul,2297418,Mapo-gu,2419949,Sangam-dong,3884277
145,Seoul,2297418,Mapo-gu,2419949,Seogang-dong,3884278
146,Seoul,2297418,Mapo-gu,2419949,Seogyo-dong,3884279
147,Seoul,2297418,Mapo-gu,2419949,Seongsan 1(il)-dong,3884280
148,Seoul,2297418,Mapo-gu,2419949,Seongsan 2(i)-dong,3884291
149,Seoul,2297418,Mapo-gu,2419949,Sinsu-dong,3884281
150,Seoul,2297418,Mapo-gu,2419949,Ahyeon-dong,3884282
151,Seoul,2297418,Mapo-gu,2419949,Yeonnam-dong,3884283
152,Seoul,2297418,Mapo-gu,2419949,Yeomni-dong,3884285
153,Seoul,2297418,Mapo-gu,2419949,Yonggang-dong,3884286
154,Seoul,2297418,Mapo-gu,2419949,Hapjeong-dong,3884287
155,Seoul,2297418,Seodaemun-gu,2419951,Chunghyeon-dong,3887534
156,Seoul,2297418,Seodaemun-gu,2419951,Cheonyeon-dong,8855694
157,Seoul,2297418,Seodaemun-gu,2419951,Bugahyeon-dong,3887530
158,Seoul,2297418,Seodaemun-gu,2419951,Sinchon-dong,3887531
159,Seoul,2297418,Seodaemun-gu,2419951,Yeonhui-dong,3887532
160,Seoul,2297418,Seodaemun-gu,2419951,Hongje 1(il)-dong,3887543
161,Seoul,2297418,Seodaemun-gu,2419951,Hongje 2(i)-dong,3887544
162,Seoul,2297418,Seodaemun-gu,2419951,Hongje 3(sam)-dong,3887545
163,Seoul,2297418,Seodaemun-gu,2419951,Hongeun 1(il)-dong,3887541
164,Seoul,2297418,Seodaemun-gu,2419951,Hongeun 2(i)-dong,3887542
165,Seoul,2297418,Seodaemun-gu,2419951,Namgajwa 1(il)-dong,3887537
166,Seoul,2297418,Seodaemun-gu,2419951,Namgajwa 2(i)-dong,3887538
167,Seoul,2297418,Seodaemun-gu,2419951,Bukgajwa 1(il)-dong,3887539
168,Seoul,2297418,Seodaemun-gu,2419951,Bukgajwa 2(i)-dong,3887540
169,Seoul,2297418,Eunpyeong-gu,2419942,Galhyeon 1(il)-dong,3886371
170,Seoul,2297418,Eunpyeong-gu,2419942,Galhyeon 2(i)-dong,3886372
171,Seoul,2297418,Eunpyeong-gu,2419942,Gusan-dong,3886361
172,Seoul,2297418,Eunpyeong-gu,2419942,Nokbeon-dong,3886362
173,Seoul,2297418,Eunpyeong-gu,2419942,Daejo-dong,3886363
174,Seoul,2297418,Eunpyeong-gu,2419942,Bulgwang 1(il)-dong,3886373
175,Seoul,2297418,Eunpyeong-gu,2419942,Bulgwang 2(i)-dong,3886374
176,Seoul,2297418,Eunpyeong-gu,2419942,Susaek-dong,3886365
177,Seoul,2297418,Eunpyeong-gu,2419942,Sinsa 1(il)-dong,3886375
178,Seoul,2297418,Eunpyeong-gu,2419942,Sinsa 2(i)-dong,9626664
179,Seoul,2297418,Eunpyeong-gu,2419942,Yeokchon-dong,3886367
180,Seoul,2297418,Eunpyeong-gu,2419942,Eungam 1(il)-dong,3886377
181,Seoul,2297418,Eunpyeong-gu,2419942,Eungam 2(i)-dong,3886378
182,Seoul,2297418,Eunpyeong-gu,2419942,Eungam 3(sam)-dong,3886379
183,Seoul,2297418,Eunpyeong-gu,2419942,Jeungsan-dong,3886369
184,Seoul,2297418,Eunpyeong-gu,2419942,Jingwan-dong,3886370
185,Seoul,2297418,Jongno-gu,2419946,Pyeongchang-dong,3883991
186,Seoul,2297418,Jongno-gu,2419946,Buam-dong,3883984
187,Seoul,2297418,Jongno-gu,2419946,Samcheong-dong,3888557
188,Seoul,2297418,Jongno-gu,2419946,Cheongunhyoja-dong,3883990
189,Seoul,2297418,Jongno-gu,2419946,Muak-dong,3883983
190,Seoul,2297418,Jongno-gu,2419946,Gyonam-dong,3883982
191,Seoul,2297418,Jongno-gu,2419946,Sajik-dong,3883985
192,Seoul,2297418,Jongno-gu,2419946,Gahoe-dong,3883981
193,Seoul,2297418,Jongno-gu,2419946,Jongno 1·2·3·4(ilisamsa)-ga-dong,3883995
194,Seoul,2297418,Jongno-gu,2419946,Jongno 5·6(oryuk)-ga-dong,3883996
195,Seoul,2297418,Jongno-gu,2419946,Ihwa-dong,3883987
196,Seoul,2297418,Jongno-gu,2419946,Hyehwa-dong,8243591
197,Seoul,2297418,Jongno-gu,2419946,Changsin 1(il)-dong,9623459
198,Seoul,2297418,Jongno-gu,2419946,Changsin 3(sam)-dong,3883998
199,Seoul,2297418,Jongno-gu,2419946,Changsin 2(i)-dong,3883999
200,Seoul,2297418,Jongno-gu,2419946,Sungin 1(il)-dong,3883993
