,시도,중분류,시군구,소분류,읍면동,영문 표기,지명 갯수
2534,전라북도,35012.0,덕진구,35012710.0,여의동,Yeoui-dong in Deokjin-gu,3
2762,전라남도,36010.0,목포시,36010530.0,연동,Yeon-dong in Mokpo-si,2
3789,제주특별자치도,39010.0,제주시,39010650.0,연동,Yeon-dong in Jeju-si,2
2615,전라북도,35040.0,정읍시,35040570.0,연지동,Yeonji-dong in Jeongeup-si,2
506,부산광역시,21050.0,부산진구,21050540.0,연지동,Yeonji-dong in Busanjin-gu,3
950,인천광역시,23080.0,서구,23080530.0,연희동,Yeonhui-dong in Seo-gu in Incheon,3
210,서울특별시,11130.0,서대문구,11130760.0,연희동,Yeonhui-dong in Seodaemun-gu,2
3223,경상북도,37060.0,영주시,37060550.0,영주1동,Yeongju 1(il)-dong in Yeongju-si,2
462,부산광역시,21010.0,중구,21010590.0,영주1동,Yeongju 1(il)-dong in Jung-gu in Busan,3
463,부산광역시,21010.0,중구,21010600.0,영주2동,Yeongju 2(i)-dong in Jung-gu in Busan,3
3224,경상북도,37060.0,영주시,37060580.0,영주2동,Yeongju 2(i)-dong in Yeongju-si,2
414,서울특별시,11240.0,송파구,11240600.0,오금동,Ogeum-dong in Songpa-gu,2
1638,경기도,31160.0,군포시,31160580.0,오금동,Ogeum-dong in Gunpo-si,2
2894,전라남도,36520.0,곡성군,36520400.0,오산면,Osan-myeon in Gokseong-gun,2
2566,전라북도,35030.0,익산시,35030310.0,오산면,Osan-myeon in Iksan-si,2
1175,대전광역시,25050.0,대덕구,25050510.0,오정동,Ojeong-dong in Daedeok-gu,2
1439,경기도,31050.0,부천시,31050960.0,오정동,Ojeong-dong in Bucheon-si,2
1213,울산광역시,26020.0,남구,26020600.0,옥동,Ok-dong in Nam-gu in Ulsan,3
3181,경상북도,37040.0,안동시,37040600.0,옥동,Ok-dong in Andong-si,2
2538,전라북도,35020.0,군산시,35020310.0,옥산면,Oksan-myeon in Gunsan-si,2
2428,충청남도,34530.0,부여군,34530370.0,옥산면,Oksan-myeon in Buyeo-gun,2
2131,충청북도,33043.0,흥덕구,33043320.0,옥산면,Oksan-myeon in Heungdeok-gu,2
3316,경상북도,37520.0,의성군,37520330.0,옥산면,Oksan-myeon in Uiseong-gun,2
1878,경기도,31580.0,양평군,31580340.0,옥천면,Okcheon-myeon in Yangpyeong-gun,2
2979,전라남도,36600.0,해남군,36600370.0,옥천면,Okcheon-myeon in Haenam-gun,2
528,부산광역시,21060.0,동래구,21060550.0,온천1동,Oncheon 1(il)-dong in Dongnae-gu,2
1164,대전광역시,25040.0,유성구,25040640.0,온천1동,Oncheon 1(il)-dong in Yuseong-gu,2
1165,대전광역시,25040.0,유성구,25040540.0,온천2동,Oncheon 2(i)-dong in Yuseong-gu,2
529,부산광역시,21060.0,동래구,21060560.0,온천2동,Oncheon 2(i)-dong in Dongnae-gu,2
