,root1_en,root1_id,root2_en,root2_id,root3_en,root3_id,nested_name
65,Seoul,2297418,Gwanak-gu,2414778,Cheongmin-dong,3878891,"Cheongmin-dong , Gwanak-gu , Seoul , Korea"
66,Seoul,2297418,Gwanak-gu,2414778,Haengun-dong,3878892,"Haengun-dong , Gwanak-gu , Seoul , Korea"
67,Seoul,2297418,Gwanak-gu,2414778,Namhyeon-dong,3878897,"Namhyeon-dong , Gwanak-gu , Seoul , Korea"
68,Seoul,2297418,Yeongdeungpo-gu,2414781,Daerim 1(il)-dong,3879659,"Daerim 1(il)-dong , Yeongdeungpo-gu , Seoul , Korea"
69,Seoul,2297418,Yeongdeungpo-gu,2414781,Daerim 2(i)-dong,3879660,"Daerim 2(i)-dong , Yeongdeungpo-gu , Seoul , Korea"
70,Seoul,2297418,Yeongdeungpo-gu,2414781,Daerim 3(sam)-dong,3879661,"Daerim 3(sam)-dong , Yeongdeungpo-gu , Seoul , Korea"
71,Seoul,2297418,Yeongdeungpo-gu,2414781,Singil 1(il)-dong,3879664,"Singil 1(il)-dong , Yeongdeungpo-gu , Seoul , Korea"
72,Seoul,2297418,Yeongdeungpo-gu,2414781,Singil 3(sam)-dong,3879665,"Singil 3(sam)-dong , Yeongdeungpo-gu , Seoul , Korea"
73,Seoul,2297418,Yeongdeungpo-gu,2414781,Singil 4(sa)-dong,3879666,"Singil 4(sa)-dong , Yeongdeungpo-gu , Seoul , Korea"
74,Seoul,2297418,Yeongdeungpo-gu,2414781,Singil 5(o)-dong,3879667,"Singil 5(o)-dong , Yeongdeungpo-gu , Seoul , Korea"
75,Seoul,2297418,Yeongdeungpo-gu,2414781,Singil 6(yuk)-dong,3879668,"Singil 6(yuk)-dong , Yeongdeungpo-gu , Seoul , Korea"
76,Seoul,2297418,Yeongdeungpo-gu,2414781,Singil 7(chil)-dong,3879669,"Singil 7(chil)-dong , Yeongdeungpo-gu , Seoul , Korea"
77,Seoul,2297418,Yeongdeungpo-gu,2414781,Dorim-dong,3879662,"Dorim-dong , Yeongdeungpo-gu , Seoul , Korea"
78,Seoul,2297418,Yeongdeungpo-gu,2414781,Yeongdeungpobon-dong,3882299,"Yeongdeungpobon-dong , Yeongdeungpo-gu , Seoul , Korea"
79,Seoul,2297418,Yeongdeungpo-gu,2414781,Mullae-dong,3879663,"Mullae-dong , Yeongdeungpo-gu , Seoul , Korea"
80,Seoul,2297418,Yeongdeungpo-gu,2414781,Yeongdeungpo-dong,3879673,"Yeongdeungpo-dong , Yeongdeungpo-gu , Seoul , Korea"
81,Seoul,2297418,Yeongdeungpo-gu,2414781,Yeoui-dong,3879672,"Yeoui-dong , Yeongdeungpo-gu , Seoul , Korea"
