시도,중분류,시군구,소분류,읍면동,영문 표기
서울특별시,11060,동대문구,11060860,답십리2동,Dapsimni 2(i)-dong
서울특별시,11060,동대문구,11060870,장안1동,Jangan 1(il)-dong
서울특별시,11060,동대문구,11060880,장안2동,Jangan 2(i)-dong
서울특별시,11060,동대문구,11060800,청량리동,Cheongnyangni-dong
서울특별시,11060,동대문구,11060710,회기동,Hoegi-dong
서울특별시,11060,동대문구,11060720,휘경1동,Hwigyeong 1(il)-dong
서울특별시,11060,동대문구,11060730,휘경2동,Hwigyeong 2(i)-dong
서울특별시,11060,동대문구,11060890,이문1동,Imun 1(il)-dong
서울특별시,11060,동대문구,11060900,이문2동,Imun 2(i)-dong
서울특별시,11070,중랑구,,,Jungnang-gu
서울특별시,11070,중랑구,11070520,면목2동,Myeonmok 2(i)-dong
서울특별시,11070,중랑구,11070540,면목4동,Myeonmok 4(sa)-dong
서울특별시,11070,중랑구,11070550,면목5동,Myeonmok 5(o)-dong
서울특별시,11070,중랑구,11070710,면목본동,Myeonmokbon-dong
서울특별시,11070,중랑구,11070570,면목7동,Myeonmok 7(chil)-dong
서울특별시,11070,중랑구,11070720,면목3.8동,Myeonmok 3.8(sampal)-dong
서울특별시,11070,중랑구,11070590,상봉1동,Sangbong 1(il)-dong
서울특별시,11070,중랑구,11070600,상봉2동,Sangbong 2(i)-dong
서울특별시,11070,중랑구,11070610,중화1동,Junghwa 1(il)-dong
서울특별시,11070,중랑구,11070620,중화2동,Junghwa 2(i)-dong
서울특별시,11070,중랑구,11070640,묵1동,Muk 1(il)-dong
서울특별시,11070,중랑구,11070650,묵2동,Muk 2(i)-dong
서울특별시,11070,중랑구,11070730,망우본동,Mangubon-dong
서울특별시,11070,중랑구,11070680,망우3동,Mangu 3(sam)-dong
서울특별시,11070,중랑구,11070690,신내1동,Sinnae 1(il)-dong
서울특별시,11070,중랑구,11070700,신내2동,Sinnae 2(i)-dong
서울특별시,11080,성북구,,,Seongbuk-gu
서울특별시,11080,성북구,11080810,성북동,Seongbuk-dong
서울특별시,11080,성북구,11080820,삼선동,Samseon-dong
서울특별시,11080,성북구,11080830,동선동,Dongseon-dong
서울특별시,11080,성북구,11080580,돈암1동,Donam 1(il)-dong
서울특별시,11080,성북구,11080590,돈암2동,Donam 2(i)-dong
서울특별시,11080,성북구,11080600,안암동,Anam-dong
서울특별시,11080,성북구,11080610,보문동,Bomun-dong
서울특별시,11080,성북구,11080620,정릉1동,Jeongneung 1(il)-dong
서울특별시,11080,성북구,11080630,정릉2동,Jeongneung 2(i)-dong
서울특별시,11080,성북구,11080640,정릉3동,Jeongneung 3(sam)-dong
서울특별시,11080,성북구,11080650,정릉4동,Jeongneung 4(sa)-dong
서울특별시,11080,성북구,11080660,길음1동,Gireum 1(il)-dong
서울특별시,11080,성북구,11080680,길음2동,Gireum 2(i)-dong
서울특별시,11080,성북구,11080840,종암동,Jongam-dong
서울특별시,11080,성북구,11080710,월곡1동,Wolgok 1(il)-dong
